title,price,original_price,image_path,category,sku
"Hyundai i20 Camera Activator - To turn on orignal camera in Android Stereo",1450,1450,"/images/products/hyundai-i20-camera-activator-to-turn-on-orignal-camera-in-an.jpg","Car Stereos","SC-0096"
"Hyundai Venue Camera Activator - To turn on orignal camera in Android Stereo",1450,1450,"/images/products/hyundai-venue-camera-activator-to-turn-on-orignal-camera-in-.jpg","Car Stereos","SC-0097"
"Ignis Android Frame 9 Inches With Coupler",600,600,"/images/products/ignis-android-frame-9-inches-with-coupler.jpg","Car Stereos","SC-0098"
"Ignis android stereo - 4/64 GB With Android Frame",6800,6800,"/images/products/ignis-android-stereo-4-64-gb-with-android-frame.jpg","Car Stereos","SC-0099"
"Ignis Camera Activator - To turn on Aftermarket Camera in Orignal Stereo",950,950,"/images/products/ignis-camera-activator-to-turn-on-aftermarket-camera-in-orig.jpg","Car Stereos","SC-0100"
"Ignis Camera Activator - To turn on orignal camera in Android Stereo",850,850,"/images/products/ignis-camera-activator-to-turn-on-orignal-camera-in-android-.jpg","Car Stereos","SC-0101"
"Infinity Alpha 601CF 6.5&quot; 2-Way Car Audio Component Speakers (315W Peak 45W RMS)",4800,4800,"/images/products/infinity-alpha-601cf-6-5-quot-2-way-car-audio-component-spea.jpg","Car Speakers","SC-0102"
"Infinity Alpha 603CF &amp; 603F Combo - Infinity Alpha Components and Coaxials speakers",9500,9500,"/images/products/infinity-alpha-603cf-amp-603f-combo-infinity-alpha-component.jpg","Car Speakers","SC-0103"
"Infinity Alpha 603CF Component Speakers 720W Peak Power 90W RMS",6100,6100,"/images/products/infinity-alpha-603cf-component-speakers-720w-peak-power-90w-.jpg","Car Speakers","SC-0104"
"Infinity Alpha 603F Coaxial Speakers 480W Peak Power 60W RMS",3350,3350,"/images/products/infinity-alpha-603f-coaxial-speakers-480w-peak-power-60w-rms.jpg","Car Speakers","SC-0105"
"Infinity Basslink Mini 100 Watt RMS 200 Watt Peak Subwoofer",18700,18700,"/images/products/infinity-basslink-mini-100-watt-rms-200-watt-peak-subwoofer.jpg","Car Subwoofers","SC-0106"
"Infinity Car Coaxial Speaker | Alpha 6520F | Peak Power - 320W | RMS Power - 40W | Wired 6.5 Inch 2-Way Coaxial Speaker",2700,2700,"/images/products/infinity-car-coaxial-speaker-alpha-6520f-peak-power-320w-rms.jpg","Car Speakers","SC-0107"
"Infinity Car Dashcam 200D | Dual Channel | Night Vision | 1080 Full HD + Rear View Camera | G-Sensor | 3&quot; IPS Display | Wi-Fi, Mic",4800,4800,"/images/products/infinity-car-dashcam-200d-dual-channel-night-vision-1080-ful.jpg","Electronics","SC-0108"
"Infinity Car Dashcam D100 | 1080 Full HD Camera | Night Vision | Wide-Angle FOV | Built-in Wi-Fi, Mic | App Control | G-Sensor",2500,2500,"/images/products/infinity-car-dashcam-d100-1080-full-hd-camera-night-vision-w.jpg","Electronics","SC-0109"
"Infinity Primus PR6512ISHI 6.5&quot; Coaxial Speakers (55W RMS 165W Peak)",4499,4499,"/images/products/infinity-primus-pr6512ishi-6-5-quot-coaxial-speakers-55w-rms.jpg","Car Speakers","SC-0110"
"Innova Crysta android 9 inches frame",1100,1100,"/images/products/innova-crysta-android-9-inches-frame.jpg","Car Stereos","SC-0111"
"Innova Crysta android stereo - 4/64 GB With Android Frame",6800,6800,"/images/products/innova-crysta-android-stereo-4-64-gb-with-android-frame.jpg","Car Stereos","SC-0112"
"Innova Hycross 3 inches Projector Fog Lamp Grill",3999,3999,"/images/products/innova-hycross-3-inches-projector-fog-lamp-grill.jpg","Car Amplifiers","SC-0113"
"Innova Hycross 3 Projector Headlights",79999,79999,"/images/products/innova-hycross-3-projector-headlights.jpg","Lighting","SC-0114"
"Innova Hycross ABS Quality Wing Spoiler",4600,4600,"/images/products/innova-hycross-abs-quality-wing-spoiler.jpg","Car Accessories","SC-0115"
"Innova Hycross Alphard Tail Lights - Red Glass",27500,27500,"/images/products/innova-hycross-alphard-tail-lights-red-glass.jpg","Lighting","SC-0116"
"Innova Hycross Front and Rear Bumper Diffuser ABS Quality",4950,4950,"/images/products/innova-hycross-front-and-rear-bumper-diffuser-abs-quality.jpg","Car Accessories","SC-0117"
"Innova Hycross Maybach Grill",7600,7600,"/images/products/innova-hycross-maybach-grill.jpg","Exterior","SC-0118"
"JBL BASSPRO 8” ACTIVE SUBWOOFER WITH CLASS D AMPLIFIER",16250,16250,"/images/products/jbl-basspro-8-active-subwoofer-with-class-d-amplifier.jpg","Car Amplifiers","SC-0119"
"JBL BASSPRO NANO ACTIVE UNDERSEAT SUBWOOFER",21900,21900,"/images/products/jbl-basspro-nano-active-underseat-subwoofer.jpg","Car Subwoofers","SC-0120"
"JBL Basspro SL2 8&quot; Class D Compact Underseat Subwoofer with Bass Controller (125W RMS)",26300,26300,"/images/products/jbl-basspro-sl2-8-quot-class-d-compact-underseat-subwoofer-w.jpg","Car Subwoofers","SC-0121"
"JBL Club A754 4-Channel Amplifier (4x 75W)",16999,16999,"/images/products/jbl-club-a754-4-channel-amplifier-4x-75w.jpg","Car Amplifiers","SC-0122"
"JBL Concert A704 1000W 4-Channel Amplifier",9999,9999,"/images/products/jbl-concert-a704-1000w-4-channel-amplifier.jpg","Car Amplifiers","SC-0123"
"JBL Stage 1 621F | 6.5-Inch 2-Way Coaxial Car Speaker (350W Peak / 70W RMS)",2750,2750,"/images/products/jbl-stage-1-621f-6-5-inch-2-way-coaxial-car-speaker-350w-pea.jpg","Car Speakers","SC-0124"
"JL Audio 12W0V3-4 12&quot; Subwoofer (300W RMS)",12500,12500,"/images/products/jl-audio-12w0v3-4-12-quot-subwoofer-300w-rms.jpg","Car Subwoofers","SC-0125"
"JL Audio C1-650 6.5-inch 2-Way Component Speaker System",9800,9800,"/images/products/jl-audio-c1-650-6-5-inch-2-way-component-speaker-system.jpg","Car Speakers","SC-0126"
"Kia Carens Connecting tail light - Imported",5100,5100,"/images/products/kia-carens-connecting-tail-light-imported.jpg","Lighting","SC-0127"
"Mahindra Scorpio Classic Wireless Charging Pad Mahindra Orignal Part",3650,3650,"/images/products/mahindra-scorpio-classic-wireless-charging-pad-mahindra-orig.jpg","Car Accessories","SC-0128"
"Mahindra Scorpio N Classic Wireless Charging Pad Mahindra Orignal Part",3650,3650,"/images/products/mahindra-scorpio-n-classic-wireless-charging-pad-mahindra-or.jpg","Car Accessories","SC-0129"
"Mahindra Scorpio N Modified Tail Lights",17900,17900,"/images/products/mahindra-scorpio-n-modified-tail-lights.jpg","Lighting","SC-0130"
"Mahindra Thar Bronco Style LED Roof Spoiler | Thar Roxx Bronco Spoiler",10000,10000,"/images/products/mahindra-thar-bronco-style-led-roof-spoiler-thar-roxx-bronco.jpg","Lighting","SC-0131"
"Mahindra Thar Roxx Wireless Charging Pad Mahindra Orignal Part",3650,3650,"/images/products/mahindra-thar-roxx-wireless-charging-pad-mahindra-orignal-pa.jpg","Car Accessories","SC-0132"
"Mahindra Thar Wireless Charging Pad Mahindra Orignal Part",3650,3650,"/images/products/mahindra-thar-wireless-charging-pad-mahindra-orignal-part.jpg","Car Accessories","SC-0133"
"Mahindra Xuv300 Classic Wireless Charging Pad Mahindra Orignal Part",3650,3650,"/images/products/mahindra-xuv300-classic-wireless-charging-pad-mahindra-orign.jpg","Car Accessories","SC-0134"
"MARTS Digital 4 Channel Class D Amplifier - MXS100.4",11990,11990,"/images/products/marts-digital-4-channel-class-d-amplifier-mxs100-4.jpg","Car Amplifiers","SC-0135"
"Maruti Suzuki Brezza 2016-2020 Audi Style Modified LED Tail lights",14000,14000,"/images/products/maruti-suzuki-brezza-2016-2020-audi-style-modified-led-tail-.jpg","Lighting","SC-0136"
"Maruti Suzuki Victoris Connecting Tail Light",11899,11899,"/images/products/maruti-suzuki-victoris-connecting-tail-light.jpg","Lighting","SC-0137"
"MoBass 4 CHANNEL AMPLIFIER MBD-200.4 200WATT*4 AMPLIFIER",13500,13500,"/images/products/mobass-4-channel-amplifier-mbd-200-4-200watt-4-amplifier.jpg","Car Amplifiers","SC-0138"
"Morel Maximo MK2 Component Speakers",6000,6000,"/images/products/morel-maximo-mk2-component-speakers.jpg","Car Speakers","SC-0139"
"Morel Maximo MK3 Component Speakers",8000,8000,"/images/products/morel-maximo-mk3-component-speakers.jpg","Car Speakers","SC-0140"
"Morel MPD4.100 4 Channel amplifier",13900,13900,"/images/products/morel-mpd4-100-4-channel-amplifier.jpg","Car Amplifiers","SC-0141"
"Mtrax 360 Camera kit | 1080p 360 Degree camera kit for android stereo",6500,6500,"/images/products/mtrax-360-camera-kit-1080p-360-degree-camera-kit-for-android.jpg","Car Stereos","SC-0142"
"Mtrax Android Stereo 4GB Ram 64GB Storage with Wireless CarPlay and Android auto",8090,8090,"/images/products/mtrax-android-stereo-4gb-ram-64gb-storage-with-wireless-carp.jpg","Car Stereos","SC-0143"
"Mtrax Android Stereo With 360 Camera Kit",13442,13442,"/images/products/mtrax-android-stereo-with-360-camera-kit.jpg","Car Stereos","SC-0144"
"Nakamichi NAM5240T-A9Z Android Stereo With Carplay &amp; Android Auto (2+32G Zlink)",11324,11324,"/images/products/nakamichi-nam5240t-a9z-android-stereo-with-carplay-amp-andro.jpg","Car Stereos","SC-0145"
"NAKAMICHI NAM5260 4GB RAM 64GB STORAGE ANDROID CAR STEREO",13899,13899,"/images/products/nakamichi-nam5260-4gb-ram-64gb-storage-android-car-stereo.jpg","Car Stereos","SC-0146"
"NAKAMICHI NDSK4285AU Input: 2 Channels low level,4 Channel high level input || Output: 8 Channels low level,4 Channels 70W Max power",12500,12500,"/images/products/nakamichi-ndsk4285au-input-2-channels-low-level-4-channel-hi.jpg","Car Accessories","SC-0147"
"Nakamichi NKTA75.4 4 Channel Amplifier",8200,8200,"/images/products/nakamichi-nkta75-4-4-channel-amplifier.jpg","Car Amplifiers","SC-0148"
"New Baleno 9 inches Android Frame with Coupler (Gloss Black)",1400,1400,"/images/products/new-baleno-9-inches-android-frame-with-coupler-gloss-black.jpg","Car Stereos","SC-0149"
"New Brezza 9 inches Android Frame with Coupler (Gloss Black)",1400,1400,"/images/products/new-brezza-9-inches-android-frame-with-coupler-gloss-black.jpg","Car Stereos","SC-0150"
"Nippon 170 Watts Led Lights for Car Headlights / Fog Lights",5850,5850,"/images/products/nippon-170-watts-led-lights-for-car-headlights-fog-lights.jpg","Lighting","SC-0151"
